Price,Close,High,Low,Open,Volume,Symbol
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,
Date,,,,,,
2010-01-04,6.424605369567871,6.439315163181909,6.375672659933639,6.407193703508267,493729600,AAPL
2010-01-05,6.4357147216796875,6.472039103383499,6.401791604177357,6.442319300466533,601904800,AAPL
2010-01-06,6.33334493637085,6.461230768036579,6.326740358855194,6.435713482992475,552160000,AAPL
2010-01-07,6.3216352462768555,6.364264383327154,6.275704622705846,6.356759182999326,477131200,AAPL
2010-01-08,6.363665580749512,6.364266397777678,6.276007618856891,6.313231821018251,447610800,AAPL
2010-01-11,6.3075270652771,6.394284781604259,6.257693333617454,6.388280620967726,462229600,AAPL
2010-01-12,6.23577880859375,6.297320660021102,6.196752962752996,6.2799081915167845,594459600,AAPL
2010-01-13,6.323738098144531,6.332143924367034,6.12710701670797,6.2402830577612445,605892000,AAPL
2010-01-14,6.287112712860107,6.318033738312079,6.274804584770781,6.307526858354621,432894000,AAPL
2010-01-15,6.182042121887207,6.352256457862323,6.18024087381016,6.332142521001956,594067600,AAPL
2010-01-19,6.455524444580078,6.460027564239748,6.221368234452969,6.254089701544755,730007600,AAPL
2010-01-20,6.356160640716553,6.470836921805907,6.289215440714218,6.451624005326168,612152800,AAPL
2010-01-21,6.246284008026123,6.403589784532219,6.220466923126691,6.366665405080015,608154400,AAPL
2010-01-22,5.936479091644287,6.229175164957366,5.918767615996459,6.207560984148007,881767600,AAPL
2010-01-25,6.096183776855469,6.145116072819289,6.009725885376165,6.079372531312596,1065699600,AAPL
2010-01-26,6.182342529296875,6.41559895224473,6.081475038599557,6.182642737319399,1867110000,AAPL
2010-01-27,6.2405805587768555,6.321634305382996,5.989912115689124,6.209659538840165,1722568400,AAPL
2010-01-28,5.982707500457764,6.169132639963565,5.964996032017167,6.152021587457342,1173502400,AAPL
2010-01-29,5.765664100646973,6.070068257963605,5.711327644529887,6.0364457570574945,1245952400,AAPL
2010-02-01,5.845817565917969,5.8839431871622665,5.742848608240047,5.77497006840278,749876400,AAPL
2010-02-02,5.8797407150268555,5.893550286549331,5.805291116095373,5.881242156221584,698342400,AAPL
2010-02-03,5.980906963348389,6.010026738813997,5.8365101204670395,5.859025319869741,615328000,AAPL
2010-02-04,5.765363693237305,5.955090356591733,5.750953707938886,5.905857041779038,757652000,AAPL
2010-02-05,5.867731094360352,5.883942326910442,5.729338408158305,5.782774632348042,850306800,AAPL
2010-02-08,5.8275041580200195,5.940379959838839,5.823901662061851,5.874636011849238,478270800,AAPL
2010-02-09,5.889647006988525,5.9289730587479115,5.846417849802574,5.896551391264354,632886800,AAPL
2010-02-10,5.857524871826172,5.901955259927815,5.831707782594653,5.8806400887589,370361600,AAPL
2010-02-11,5.964095592498779,5.996517655324463,5.825702912540377,5.850319567453347,550345600,AAPL
2010-02-12,6.015431880950928,6.053257296478956,5.868933548000937,5.947285850898843,655468800,AAPL
2010-02-16,6.1060919761657715,6.114797608407144,6.04965406777372,6.062262404487202,543737600,AAPL
2010-02-17,6.0805745124816895,6.133409518567146,6.029839760013951,6.129807022476294,436396800,AAPL
2010-02-18,6.091983318328857,6.120802894301225,6.03164269437247,6.052956667245405,422825200,AAPL
2010-02-19,6.054156303405762,6.100087327665818,6.037345055528109,6.059860656451437,415469600,AAPL
2010-02-22,6.016632080078125,6.079074154338788,5.979707691005793,6.074271226173992,390563600,AAPL
2010-02-23,5.915765285491943,6.043951337237001,5.875238394829668,6.00402446195689,575094800,AAPL
2010-02-24,6.023836612701416,6.047252036489456,5.939179154033308,5.950887266739102,460566400,AAPL
2010-02-25,6.064064025878906,6.08988111696725,5.910661317187328,5.925371111060244,665126000,AAPL
2010-02-26,6.142717361450195,6.159228405880867,6.064064844535981,6.075472351346229,507460800,AAPL
2010-03-01,6.273905277252197,6.289215086984138,6.167633626019473,6.176639467181527,550093600,AAPL
2010-03-02,6.26970100402832,6.32914058491237,6.236378316766603,6.302122265664552,566546400,AAPL
2010-03-03,6.284110069274902,6.30032130204238,6.242382758546429,6.272402758344149,372052800,AAPL
2010-03-04,6.32553768157959,6.331842049586998,6.263095619941465,6.282609540776144,366041200,AAPL
2010-03-05,6.57290506362915,6.595420266955474,6.4432179894761905,6.452524439186623,899620400,AAPL
2010-03-08,6.576806545257568,6.607126350756229,6.551889682123633,6.604725087573212,429889600,AAPL
2010-03-09,6.6950860023498535,6.754525585734661,6.541082898836807,6.553691234583317,920259200,AAPL
2010-03-10,6.749722003936768,6.768935316065636,6.70048949485355,6.719402198168654,596218000,AAPL
2010-03-11,6.769535541534424,6.769535541534424,6.704092195246633,6.721804468964327,405700400,AAPL
2010-03-12,6.802559852600098,6.836482164574876,6.777042565581142,6.825674673258289,416323600,AAPL
2010-03-15,6.7197041511535645,6.769536688369646,6.611931454502878,6.765934993033692,493502800,AAPL
2010-03-16,6.738014221191406,6.75392484431759,6.679775472665593,6.729909006034774,446908000,AAPL
2010-03-17,6.7281084060668945,6.798054872472256,6.702591525332249,6.751523830607335,450956800,AAPL
2010-03-18,6.744020938873291,6.754527822005345,6.682779686321376,6.727509091863751,342109600,AAPL
2010-03-19,6.671972751617432,6.7617329753565585,6.641351924217085,6.748224010780707,559445600,AAPL
2010-03-22,6.747021675109863,6.784547280903496,6.608929177296353,6.618535834987349,456419600,AAPL
2010-03-23,6.855393409729004,6.868002146905999,6.727507194661625,6.773738429353702,602431200,AAPL
2010-03-24,6.885715484619141,6.910632355434153,6.8298775811513135,6.833780687157757,597780400,AAPL
2010-03-25,6.804059028625488,6.933746491656171,6.792050707523507,6.932245050706638,542284400,AAPL
2010-03-26,6.931646347045898,6.963166991644838,6.861098653737633,6.873106976417425,640875200,AAPL
2010-03-29,6.97637414932251,7.0208041339994285,6.953259334560959,6.994687239082441,540744400,AAPL
2010-03-30,7.0802459716796875,7.129179492978504,7.0322134755260945,7.102761179200941,527310000,AAPL
2010-03-31,7.054725646972656,7.103058731248609,7.038515217572909,7.069436238898022,430659600,AAPL
2010-04-01,7.08384895324707,7.166703992705442,6.9871843397337114,7.127078122577962,603145200,AAPL
2010-04-05,7.1594977378845215,7.160098153974916,7.0478227499419175,7.054127519702874,684507600,AAPL
2010-04-06,7.191020965576172,7.212034732328914,7.114769706428861,7.150793879164861,447017200,AAPL
2010-04-07,7.222841739654541,7.2624684071657635,7.164602169973854,7.191320290018138,628502000,AAPL
2010-04-08,7.2033281326293945,7.251060014825711,7.145989591890814,7.218037927710384,572989200,AAPL
2010-04-09,7.258560657501221,7.26156353819901,7.2186342082447394,7.247753974456134,334182800,AAPL
2010-04-12,7.273573875427246,7.296989299671886,7.259163890277582,7.270871602399903,333026400,AAPL
2010-04-13,7.277776718139648,7.288884816954884,7.238150056615978,7.260666061488773,306210800,AAPL
2010-04-14,7.375644683837891,7.379247181339126,7.3270125708188765,7.363336551520586,404076400,AAPL
2010-04-15,7.47260856628418,7.475910454257223,7.370239618011878,7.378344835126576,376784800,AAPL
2010-04-16,7.426977634429932,7.539253046633068,7.341420339381804,7.462100775838474,750545600,AAPL
2010-04-19,7.417069435119629,7.441685689238884,7.257962403276336,7.4158686031321785,566924400,AAPL
2010-04-20,7.342621803283691,7.482515568065197,7.293689086581827,7.461201194283442,738326400,AAPL
2010-04-21,7.7818145751953125,7.812735601401879,7.677043977027009,7.769205837964527,982391200,AAPL
2010-04-22,7.999460697174072,8.007866522531856,7.691153845173367,7.7523954854421575,793424800,AAPL
2010-04-23,8.13034439086914,8.170871255993882,8.015367567844345,8.04508694828652,796955600,AAPL
2010-04-26,8.090420722961426,8.179279889363826,8.051093874324673,8.161868626346026,479068800,AAPL
2010-04-27,7.866471290588379,8.040587949560175,7.820841270736199,8.023476491709703,709343600,AAPL
2010-04-28,7.853262901306152,7.925310427306826,7.697458533102753,7.902796026344901,758402400,AAPL
2010-04-29,8.064604759216309,8.10543145116114,7.865571229084787,7.895891039990527,558840800,AAPL
2010-04-30,7.837952136993408,8.1225421291785,7.83525066558876,8.08471671977206,542463600,AAPL
2010-05-03,7.99585485458374,8.041786265970421,7.891684709407858,7.920504670002886,454342000,AAPL
2010-05-04,7.7656025886535645,7.903995671061677,7.707664448674482,7.891988152677336,723819600,AAPL
2010-05-05,7.684850215911865,7.749393746748989,7.466903972835605,7.595991034509853,883103200,AAPL
2010-05-06,7.392453670501709,7.7526944727324425,5.9815076559469755,7.620005735826906,1285860800,AAPL
2010-05-07,7.0805439949035645,7.402059987086741,6.760830052556775,7.316202893814342,1676018400,AAPL
2010-05-10,7.624811172485352,7.644624909152211,7.4609015409060335,7.512536537868545,984306400,AAPL
2010-05-11,7.7007622718811035,7.80192959125107,7.5200410121008865,7.560267292405668,848906800,AAPL
2010-05-12,7.8679680824279785,7.899188899213383,7.766200420411887,7.782410042108491,654379600,AAPL
2010-05-13,7.7559967041015625,7.955330005715353,7.6971567379155195,7.901893783511818,599712400,AAPL
2010-05-14,7.619708061218262,7.699561821174718,7.490021354539996,7.659935149328836,759362800,AAPL
2010-05-17,7.631714344024658,7.690554320593279,7.4362833111018025,7.646124330520721,762834800,AAPL
2010-05-18,7.575876712799072,7.7617010748910085,7.512833827969435,7.714569616501831,782678400,AAPL
2010-05-19,7.455193996429443,7.592686040476788,7.35042422036727,7.490017319397199,1025726800,AAPL
2010-05-20,7.137584209442139,7.320406511728294,7.091052360272803,7.261265923854383,1282915200,AAPL
2010-05-21,7.274476528167725,7.339920288786763,6.94515506599901,6.989284452959629,1223891200,AAPL
2010-05-24,7.4077653884887695,7.532049141331421,7.392755784591544,7.423376210230629,754238800,AAPL
